word,frequency
simplistic,8
analysis,72
sort,260
machinery,2
manage,72
regard,152
promote,60
expansion,12
volume,12
profitable,2
otherwise,90
expect,230
vast,36
notion,14
little,274
good,852
grocery,8
store,42
routinely,12
array,2
product,30
embed,4
relatively,40
spell,16
leader,104
attempt,210
sell,182
regain,6
contention,16
discipline,4
development,56
improve,86
technology,34
comparable,8
benefit,122
continue,302
profit,40
uncontrolle,2
substantially,6
actual,46
doomsday,2
advocate,92
restriction,42
lag,4
technological,2
likewise,16
va,26
forces,2
agency,84
negative,32
impact,70
spokane,4
travel,42
seattle,22
mile,30
away,154
bottom,22
line,188
intervention,26
extreme,26
beneficial,8
result,206
bureaucracy,12
inevitably,12
lead,162
undesirable,8
outcome,32
marketplace,2
jsh,36
domain,72
uucp,88
uunet,238
thor,36
bulls,36
hofferbert,36
bell,52
reply,20
nifty,8
concrete,8
proof,82
withholding,6
cetera,6
humbug,2
absence,6
method,82
ally,82
ordinary,8
everyday,10
illegal,168
type,96
declare,56
church,88
silliness,2
sufficiently,6
squarely,8
unwilling,8
material,50
refutation,12
date,74
finally,76
defeat,24
disbelief,4
plenty,30
valid,40
seem,436
surface,10
deviate,8
radically,8
mainstream,12
feel,258
burden,24
whatsoever,16
ruling,32
applicable,8
ultimately,22
shall,74
conclude,32
receive,86
forfeit,4
field,28
due,118
sake,18
legitimate,32
illegitimate,2
ical,2
subdivision,2
conclusion,80
matter,196
confess,4
thoroughly,16
confused,8
favor,48
thought,108
cahoot,2
big,242
banking,4
admiralty,2
jurisdiction,34
coverup,12
honestly,20
subvert,10
promptly,6
slink,2
burrow,2
invoke,4
combination,22
magic,14
mystic,2
disavowed,2
official,216
classify,8
amendment,80
citizen,180
fbi,276
washington,186
mediaeval,2
renounce,2
society,262
framework,14
fine,84
outlaw,6
ok,50
drive,70
license,34
plate,12
car,74
driver,14
wallet,14
game,64
animal,30
stew,4
supper,2
veggie,2
pinch,2
salt,10
prejudice,26
ucc,4
sorry,132
late,68
garbage,16
clam,2
e,36
refute,18
needless,4
none,70
current,124
employer,114
canadian,158
need,566
hand,216
ment,8
passport,12
prove,142
plan,334
foreseeable,2
future,148
owe,2
foreign,90
exclusion,6
credit,50
mortice,2
kern,2
mks,2
waterloo,4
ontario,24
canada,240
gadfly,24
rlm,2
robert,54
mcmillin,4
rant,26
leave,284
morality,36
cry,20
blame,82
victim,84
nonetheless,6
recent,74
editorial,12
los,100
angeles,94
times,58
love,146
demolish,6
poor,132
wedlock,2
murphy,8
brown,32
salary,12
sixteen,4
skill,58
demolition,2
breeding,2
program,476
celebrate,20
single,100
parenthood,6
radical,32
espouse,10
stage,40
catastrophe,2
among,130
straight,148
personal,138
responsibility,138
social,182
sudden,20
guess,162
responsible,132
lifestyle,16
dumb,18
disintegration,6
family,92
somehow,38
janis,6
joplin,6
sane,8
list,214
generation,50
vaunted,8
cultural,32
revolution,58
change,312
bad,240
value,96
education,214
hey,58
took,6
grant,156
ken,28
perlow,6
apr,46
germinal,4
cci,4
toujour,4
encore,4
akasacou,4
alexander,6
kasacous,2
chrysler,22
bailout,6
mconner,4
r,48
conners,4
plug,2
hate,72
proud,16
owner,66
station,66
job,616
manufacturing,14
tom,38
paxton,6
song,2
gold,8
sight,14
shape,14
tonight,30
buy,152
lettus,2
forecast,10
amidst,2
cloud,18
spot,8
shine,4
ray,16
caneven,2
glimpse,2
new,954
devise,8
fraction,8
today,346
chorus,12
broker,8
iacoca,2
perfectly,18
acceptable,16
receiving,2
million,226
grand,18
standing,10
sir,40
creditor,4
scream,20
dough,2
holler,2
endless,2
stream,6
seam,2
flow,8
glad,38
renumeration,2
liberal,172
amphibian,2
crawl,14
slime,4
struggle,30
unrelenting,2
climb,4
hardly,62
walk,50
sad,44
failure,60
millennium,2
different,290
view,268
titanic,2
gigantic,10
congress,298
safety,34
net,88
steven,44
l,92
neil,6
eternal,2
forgive,12
dawn,4
express,114
het,20
male,292
tree,64
schnopia,74
yuri,2
villanueva,2
elmo,4
pbray,2
rivero,6
congresswoman,6
barbara,8
jordan,10
biologically,4
incapable,16
compassion,6
personally,72
doubt,84
quote,98
context,54
ahem,8
willing,128
sh,6
naturally,10
bit,128
paraphrase,20
disregard,16
poster,20
vomit,4
onto,18
table,144
sleep,26
pass,238
buck,14
originally,14
wild,14
applause,34
drewcifer,20
bi,46
andrew,56
simchik,36
treewater,22
coward,26
happy,88
rhode,24
rcollin,22
roger,46
collins,32
nixon,40
vocal,6
libertarian,244
cold,40
war,408
nurse,14
health,632
subsidize,24
wealthy,36
japan,56
germany,82
defense,164
competition,32
tobacco,32
farmer,14
pursuade,6
smoke,54
ask,454
prevent,134
stupid,92
frivilous,8
suppose,146
paycheck,14
needy,14
seriously,120
direct,92
sow,2
reap,6
soon,66
bread,4
thomas,104
jefferson,36
jim,44
maurer,2
resident,10
citizenship,6
thus,82
live,307
rob,22
dobson,6
motor,34
voter,40
kaldis,270
theodore,118
enter,30
grade,32
eisenhower,6
john,88
kennedy,40
obscure,10
senator,162
england,24
teddy,6
graduate,24
remialcsid,2
xavi,12
gallagher,42
concentrate,140
molester,90
rstevew,28
walz,36
xavier,52
drakon,4
harry,8
benjamin,4
gibson,8
whole,188
arguement,18
calmly,4
sin,20
god,126
sez,14
almost,138
jews,36
hard,146
survive,34
differentiate,6
oppressor,2
worship,18
foe,12
polytheistic,2
sex,318
pervert,12
spill,22
seed,4
liberally,2
easy,100
spread,66
thin,4
heterosexualy,2
prohibition,14
especially,86
stone,20
beg,6
key,40
semen,2
anywhere,26
chance,128
procreation,2
spilt,2
ditto,2
creation,42
fore,2
evil,108
towards,52
multiplication,2
already,304
religion,108
emphasize,16
jewish,22
culture,88
enshrine,2
stoning,2
breeder,4
worth,52
jesus,8
judaism,4
prejudiced,2
bullshit,32
profound,6
misogynist,2
bitterly,2
record,84
play,140
cheap,104
dark,18
overlord,4
wide,74
universe,6
feed,28
advanced,22
dungeon,4
dragon,4
fixate,4
molest,36
ripbc,6
discriminate,26
employment,102
orientation,84
define,130
pedophilia,22
chronicly,2
ped,10
preference,24
subset,10
basic,130
apparent,42
similarity,4
optical,2
illusion,6
furriner,4
worm,10
rank,10
balderdash,4
america,210
reputation,8
abroad,14
tarnished,4
feckless,4
pusillanimous,4
requisite,4
gonad,4
honor,18
dignity,16
necessarily,68
stick,52
along,118
move,226
elsewhere,24
hazy,4
democracy,100
ted,92
civic,2
greeley,2
co,6
exactly,168
canadians,18
certitude,6
pipsqueak,4
mouse,6
intrude,6
courage,10
hell,102
manly,6
sheesh,4
crass,4
hurt,34
jon,12
cj,6
silverio,4
tie,34
reform,206
nut,20
parker,4
cruel,12
unusual,18
punishment,34
imprisonment,2
lethal,32
injection,12
pale,8
comparison,38
sentence,44
response,150
lessen,2
kill,286
vengeance,4
deterrent,6
serve,204
slake,2
somebody,82
blood,20
lust,2
commit,120
penalty,52
justifiable,8
yeah,90
disproportionately,14
revisit,6
freeze,18
c,150
j,18
ceej,2
socialist,74
oppose,62
treshman,2
rescue,20
bbc,2
april,258
nadja,10
adolf,16
prolifer,4
terrorist,38
threat,74
drieux,72
taite,4
prepared,18
instruct,6
proper,42
handle,96
firearm,34
desert,8
storm,28
vet,8
national,400
guard,22
deal,182
experience,108
weapon,120
tactical,16
training,42
counter,20
sniper,4
operation,150
security,110
drill,16
friend,174
twit,4
promise,66
train,56
tactic,56
handling,12
fiend,4
fetus,46
barnett,6
edit,12
funny,56
humor,16
dance,12
uncomfortably,4
truth,54
inevitable,44
flame,68
mpp,8
os,2
convex,2
computer,66
richardson,2
tx,20
johne,4
eaton,8
nigel,10
allen,16
ndallen,8
press,346
release,182
department,210
dense,6
prime,56
objective,60
cal,50
commission,38
accomplish,28
cover,166
legislative,34
body,78
enact,20
legislature,28
esp,6
movement,48
garamendi,2
b,90
across,60
border,16
jmann,4
mann,4
liberty,50
waldrop,10
sf,10
fans,2
vice,80
versa,4
fan,16
baseball,10
red,50
sox,2
schedule,74
stratus,4
jacob,4
galley,4
sister,16
shalala,26
marijuana,52
bust,22
suppress,10
reliable,4
advertise,4
local,172
band,4
verify,12
happen,368
pot,38
smoker,14
college,86
ghastly,2
accusation,10
report,374
cnn,58
streamline,4
day,542
nominate,18
campaign,76
invade,22
closet,28
publicity,4
jake,2
interdisciplinary,2
study,486
level,206
process,148
cdm,16
dale,26
proposition,22
harassment,20
wdstarr,68
william,150
december,66
starr,56
strong,82
harrassment,8
offender,8
behaviour,30
unwanted,24
persist,6
query,8
relationship,98
implication,26
extortion,4
irritate,8
torment,2
persistently,2
persistent,10
additionally,10
basis,156
unlike,48
inarguably,2
presume,14
average,68
viewpoint,16
prostitution,18
victimless,8
literally,22
americans,220
participate,72
obscenity,2
gambling,2
certain,146
recreational,16
drug,834
spouse,4
unnatural,2
regardless,64
marital,6
exchange,20
sophistry,4
judge,152
indulge,12
speak,170
student,102
share,50
judicial,10
invert,4
order,258
conform,4
writer,30
politic,62
legalistic,2
assumption,34
reasonable,56
preponderance,2
propositioner,2
belief,56
welcome,100
notwithstanding,4
reamin,2
lawyer,48
town,86
bar,26
abbey,10
stereotypical,6
rednecke,4
commie,4
listen,74
carefully,24
stuff,80
yeltsin,68
slogan,10
opponent,20
russian,190
btw,58
terrible,8
wwii,2
degenerate,6
nuclear,152
imagine,62
nationialist,4
ukraine,32
fight,114
possibly,38
affect,62
planet,50
track,34
europe,74
massive,46
breakup,8
span,8
humanitarian,28
space,40
champion,14
welfare,106
drunken,14
goldfish,10
republic,32
instead,134
gridlock,50
scale,38
congressional,52
impose,96
except,146
impossible,52
join,66
withdraw,18
sink,14
swim,12
ago,192
beginning,54
global,58
economy,212
roy,54
dialogue,6
least,230
awareness,10
practical,38
toilet,20
hence,10
likely,158
abuse,150
girl,36
avenue,22
measure,58
convention,12
gays,10
solve,50
parent,102
importance,30
happiness,8
rohit,10
parikh,4
respond,60
abused,2
vilify,2
slightly,16
assailant,2
alter,4
misrepresent,8
wish,142
rape,46
boy,84
woodwork,4
probability,12
secretly,4
compound,166
neurosis,2
chew,12
gum,4
mentally,4
crippled,6
dominate,40
percentage,252
sometime,16
small,160
virtually,50
assert,44
despite,56
huge,52
disproportionate,26
amount,134
insist,22
san,60
francisco,52
currently,42
empty,8
significant,30
portion,28
seek,72
tolerant,4
atmosphere,16
add,128
origin,12
gain,72
communicate,6
unable,34
maple,12
street,82
safe,98
santa,54
cruz,14
parasite,16
applies,2
badly,14
mistaken,4
apart,26
member,250
opposite,22
whatever,114
understand,170
tremendous,14
leap,6
solution,102
partial,2
vulnerable,8
together,162
able,220
excuse,76
attack,120
stretch,20
childish,2
weaken,18
usenet,44
online,8
qed,4
orthogonal,6
bird,4
worms,8
ipser,76
ed,96
deep,22
history,164
newly,6
independent,42
bhv,4
bronis,4
vidugiris,4
chris,44
bertholf,6
mcartwr,8
martina,10
cartwright,8
female,46
submit,56
intercourse,14
reference,50
that,28
s,32
practice,136
unaware,12
uniformly,8
throughout,54
mostly,24
unfortunately,56
imo,12
illinois,10
tabluate,4
comply,20
sexist,10
hire,86
rent,68
business,254
feeling,24
target,50
suck,16
enforcement,112
mechanism,24
usual,28
democratic,86
complain,42
sodomy,8
echo,12
stupidity,42
complaint,18
refer,84
abomination,2
molestation,58
brian,52
bisexual,36
repeat,36
three,136
pyramid,148
optilink,176
interfere,16
act,240
adult,68
discuss,178
statistic,84
liberterian,4
maximise,6
transaction,34
discriminatee,4
within,140
community,236
shopkeeper,2
perfect,36
mobility,2
unlimited,14
potential,60
discrimination,68
injure,14
tony,14
quirke,8
wellington,8
zealand,50
confusion,22
uniform,32
suspect,58
ucr,2
data,24
jamie,24
mccarthy,34
concept,64
unfairly,6
lump,8
entire,106
completely,62
dive,4
abyss,4
differently,36
referent,4
irrelevant,76
treat,86
nambla,50
lawsuit,2
pedophile,26
describe,74
adornment,2
dunno,4
silence,18
pin,6
darn,6
somewhere,46
wholeheartedly,12
approve,74
bank,46
steal,48
differ,12
repeatedly,22
frankly,12
amazed,14
trust,26
story,116
clarify,6
whether,338
housing,38
effect,194
daycare,2
internet,62
applelink,8
sign,90
governor,40
codify,4
determine,66
pacific,32
telephone,30
telegraph,4
soroka,4
dayton,6
hudson,4
app,10
prohibit,48
sec,8
labor,108
disparate,6
perceive,10
religious,112
association,68
corporation,42
organize,18
incorporate,8
radagast,4
ha,24
consistent,44
predictable,2
yup,22
ignore,140
fucking,14
ie,18
slowly,10
gender,40
skin,18
colour,8
affiliation,2
attitude,42
ownership,48
accomodation,6
propose,98
virginia,72
extend,38
philosophy,68
cigarette,70
gov,10
wilder,8
veto,54
hilter,6
eric,32
gsmith,18
gene,30
vote,212
hitler,132
reich,62
chancellor,40
bully,10
communist,28
imply,58
political,350
parliamentary,20
lincoln,20
slavery,54
trick,18
kmitchel,14
kenneth,12
mitchell,72
muscle,12
economically,16
valuable,12
asset,12
agricultural,20
mechanical,4
cotton,18
reaper,6
winter,10
fundamental,36
limited,94
production,32
extensively,6
sugar,2
rice,4
remain,114
intensive,8
enterprise,40
kentucky,8
plantations,2
being,14
livestock,6
aspect,26
second,142
mechanization,8
reduce,128
demand,64
eventually,28
eliminate,64
character,14
invent,28
steinbeck,2
publish,84
arkansas,14
joad,2
evict,2
farming,4
delegate,14
depken,18
craig,20
glhewitt,6
gary,112
livingston,4
hewitt,6
tough,44
effort,198
mental,36
physical,30
capital,66
intermediate,6
dehumanize,2
machine,46
er,10
horse,12
ox,2
outside,96
phrase,42
basically,62
recognize,62
knowledge,48
pull,58
plow,2
purchase,28
parallel,14
obvious,68
fit,42
motivated,4
southern,60
planter,2
manumission,2
teach,48
die,106
often,132
historian,10
mainly,8
southerner,2
divert,4
attention,36
central,24
specious,2
scholarship,4
conclusively,2
reliance,6
dominant,4
prior,36
momentum,4
northern,40
major,160
intensity,6
reproduce,6
readily,12
gin,2
suffer,34
depression,10
north,62
sustain,18
industry,74
migrate,2
immigrant,6
port,24
charleston,2
savannah,2
mobile,2
orleans,2
break,184
agriculturalist,2
heart,84
hatred,32
ratio,14
parkin,2
edition,14
economics,6
holder,4
dominance,2
passage,30
prepare,64
destroy,54
maintain,60
cripple,2
sowell,2
argue,88
maintenance,6
discourage,10
formation,4
investment,112
ii,64
trade,122
regime,20
import,16
tariff,8
tak,2
budd,2
police,326
excessive,22
assault,94
separate,48
govern,16
offence,4
fill,30
evening,46
headline,18
cory,2
bullet,14
schwarze,8
erich,10
schwarz,8
capitalism,22
struble,8
christian,22
forth,24
incentive,18
lazy,18
relative,22
ability,42
productive,34
drain,8
toil,2
eat,44
lenin,2
fascist,42
generous,4
communism,20
anybody,106
embarrassing,2
bunch,86
sluggard,2
mass,60
butchery,2
kulak,2
ussr,4
instance,46
neighboring,6
capitalist,34
politically,36
incorrect,10
ambition,2
flee,18
castro,4
cubans,2
presently,12
miami,8
cuba,8
revolt,6
build,148
wall,40
lock,24
load,16
heavily,30
dog,14
barbed,2
wire,8
choice,84
obedience,12
flight,16
novel,4
east,30
germans,12
crossing,4
recall,26
unarmed,10
shoot,82
honecker,2
chile,4
intellectual,56
sometimes,72
sheer,4
vi,2
sixteenth,2
guide,8
riggs,28
broward,86
horne,76
previous,124
zero,18
sum,12
nosedive,2
estate,8
panic,26
deflation,2
end,224
short,38
donate,4
inheritance,2
paradigm,12
shift,20
chum,8
mike,92
zimmer,2
replacement,10
developer,6
inflation,10
fix,36
mortgage,16
trillion,28
invest,16
currency,16
sigh,12
speculator,6
learn,180
proposal,68
senate,180
praiseworthy,4
scandalous,4
foremost,8
ensure,68
virtue,4
deter,28
fear,78
posterity,6
damnation,4
tacitus,6
iii,16
loser,40
light,44
bulb,10
automobile,12
airplane,22
printing,4
movable,4
photography,4
electric,6
guitar,4
anasthesia,4
rocket,12
electricity,12
motion,30
picture,58
penecillin,4
telescope,4
nylon,4
glare,8
neglect,8
charles,26
manson,4
ripper,4
bundy,4
slew,4
horrible,22
fellow,34
boon,4
blight,6
deserve,48
neither,58
shit,40
susan,4
brownmiller,2
rapist,6
catherine,2
comin,2
false,50
feminist,20
newsweek,20
magazine,48
sport,4
lady,8
gent,2
entirely,58
race,96
advance,38
repugnant,12
chauvinist,2
despise,2
wake,18
unfair,20
disgusting,14
racist,18
fairly,48
generalize,8
clue,32
discourse,20
h,26
n,10
boil,12
eighty,6
nobody,56
mail,52
buffer,2
ronald,12
reagan,74
eighties,2
endure,4
holocaust,52
conquer,6
forget,82
outer,2
overwhelming,30
success,40
stock,16
meltdown,2
eastern,20
dictator,34
contend,22
ya,14
augustus,2
meantime,14
guilt,10
bounty,6
gentler,4
affirmative,8
mildly,10
suggestion,30
mildy,2
stereotype,6
woody,18
haye,2
bowl,16
punching,2
photojournalists,2
fruit,6
hail,2
mary,8
fourth,12
quarter,28
behind,76
yard,10
dust,6
final,50
fist,4
uzzie,2
plain,42
horn,4
rim,4
douglas,64
pose,14
controversial,4
cast,20
baggy,4
shirt,6
natural,76
gordon,10
gekko,8
dress,10
wardrobe,4
fuss,6
bash,88
african,54
slug,4
clint,4
eastwood,4
george,208
declaimed,4
traditionally,10
winner,28
tolerate,10
democrat,38
finite,6
pie,10
apportion,4
equitable,10
worry,56
asian,8
tommorrow,4
determined,14
balance,28
swing,6
conservatives,2
libertarians,10
equality,16
opportunity,138
latter,18
identify,36
neoconservative,2
neoliberal,2
high,274
school,254
reunion,4
nerd,4
hollywood,20
york,104
columbus,6
ohio,26
alex,2
keaton,2
football,8
team,34
ninety,2
definitely,32
buckeye,2
someday,8
formal,16
rebuttal,6
presumption,6
te,66
frank,152
breathe,6
clean,38
air,90
regulation,124
mouthful,4
mindset,10
statist,18
everywhere,14
herein,40
university,268
rutger,36
zippy,14
pinhead,4
alien,4
usage,20
meaning,10
to,42
dictionary,20
revise,12
page,80
residence,28
factual,18
abode,2
particular,126
locality,16
reese,4
misc,8
zimmerman,2
bodily,26
inhabitant,10
campbell,2
guardianship,2
domicile,18
identical,24
permanent,16
intention,28
riley,44
intimate,2
indefinite,2
immigration,4
p,16
transatlantica,2
italiana,2
elte,2
ward,14
southwestern,2
greyhound,2
lines,2
okl,2
synonymous,4
dependent,10
jones,12
words,2
variable,2
kemp,4
oblige,8
reside,2
lord,68
depart,6
